UTC_Time,Coin,Signal,Confidence,Estimated_Profit(%),Deserving_Strong,RSI,%B,MACD_Hist,Regime,Num_Conf,Vol_Profile_OK,Overshoot_OK,Min_Profit_OK,Price,TP,SL,Outcome,Duration(min),Did_TP_Hit_Later
2025-08-25 21:22:23,ETHUSDT,Neutral,30,5.0,False,37.39981300152732,0.3752716290142851,5.070562385014405,-10.0,,True,False,True,4366.98,4335.787286,4398.172714,Inconclusive,,N/A
2025-08-25 21:22:23,BTCUSDT,Neutral,23,5.0,False,39.01511392786065,0.36493923912061565,47.6795614454295,-10.0,,False,False,True,109707.7,108924.073571,110491.326429,Inconclusive,,N/A
2025-08-25 21:22:23,SOLUSDT,Neutral,30,5.0,False,31.83681523621533,0.30458821886715276,0.10111030867197224,-10.0,,True,False,True,187.15,185.813214,188.486786,Inconclusive,,N/A
2025-08-25 21:22:23,XRPUSDT,Neutral,30,5.0,False,38.97765188759411,0.33479462803710197,0.001891351594721001,-10.0,,True,False,True,2.8413,2.821005,2.861595,Inconclusive,,N/A
2025-08-25 21:22:23,DOGEUSDT,Neutral,28,5.0,False,31.39026061992861,0.2547699038865623,-3.062528239062201e-05,-10.0,,True,False,True,0.20714,0.20566,0.20862,Inconclusive,,N/A
2025-08-25 21:22:23,ADAUSDT,Neutral,30,5.0,False,40.127610452022715,0.3666038825281897,0.0006142747243771144,-10.0,,True,False,True,0.8367,0.830724,0.842676,Inconclusive,,N/A
2025-08-25 21:22:23,LINKUSDT,Neutral,30,5.0,False,37.31979878698678,0.3466156381363806,0.016501744102971644,-10.0,,True,False,True,23.277,23.110736,23.443264,Inconclusive,,N/A
2025-08-25 21:22:23,1000PEPEUSDT,Neutral,30,5.0,False,35.635965916158526,0.3085386899704515,4.62588178027696e-06,-10.0,,True,False,True,0.00962,0.009552,0.009689,Inconclusive,,N/A
2025-08-25 21:22:23,SUIUSDT,Neutral,30,5.0,False,38.79783455700508,0.32137470596665324,0.0018178507840771428,-10.0,,True,False,True,3.3359,3.312072,3.359728,Inconclusive,,N/A
2025-08-25 21:22:23,BNBUSDT,Neutral,28,5.0,False,30.12615669898959,0.2066944122752581,-0.818276857841397,-10.0,,True,False,True,837.8,831.815714,843.784286,Inconclusive,,N/A
